id_gestion,fecha_gestion,asesor,regional,tipo_gestion,resultado
GES00048,2025-09-29,Asesor_002,Bogotá,Llamada,No efectiva
GES00049,2025-08-24,Asesor_002,Bogotá,Llamada,No efectiva
GES00050,2026-07-06,Asesor_002,Bogotá,Visita,Efectiva
GES00051,2026-03-13,Asesor_002,Bogotá,Email,No efectiva
GES00052,2025-09-17,Asesor_002,Bogotá,Email,No efectiva
GES00053,2025-11-02,Asesor_002,Bogotá,Llamada,Efectiva
GES00054,2026-03-22,Asesor_002,Bogotá,Email,No efectiva
GES00055,2026-04-02,Asesor_002,Bogotá,WhatsApp,No efectiva
GES00056,2025-10-25,Asesor_002,Bogotá,Llamada,Efectiva
GES00057,2025-08-31,Asesor_002,Bogotá,Visita,Efectiva
GES00058,2026-05-30,Asesor_002,Bogotá,WhatsApp,No efectiva
GES00059,2026-07-14,Asesor_002,Bogotá,WhatsApp,Efectiva
GES00060,2026-02-11,Asesor_002,Bogotá,Email,No efectiva
GES00061,2025-10-06,Asesor_003,Bogotá,WhatsApp,No efectiva
GES00062,2025-09-27,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00063,2025-09-02,Asesor_003,Bogotá,Email,No efectiva
GES00064,2025-08-07,Asesor_003,Bogotá,Visita,No efectiva
GES00065,2026-07-09,Asesor_003,Bogotá,Email,Efectiva
GES00066,2026-06-13,Asesor_003,Bogotá,Llamada,Efectiva
GES00067,2025-12-06,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00068,2026-07-13,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00069,2026-05-13,Asesor_003,Bogotá,Llamada,Efectiva
GES00070,2025-10-20,Asesor_003,Bogotá,WhatsApp,No efectiva
GES00071,2025-10-24,Asesor_003,Bogotá,Llamada,No efectiva
GES00072,2026-01-12,Asesor_003,Bogotá,Visita,Efectiva
GES00073,2025-12-21,Asesor_003,Bogotá,Llamada,Efectiva
GES00074,2026-05-09,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00075,2025-11-29,Asesor_003,Bogotá,Llamada,Efectiva
GES00076,2026-05-21,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00077,2026-04-13,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00078,2026-04-12,Asesor_003,Bogotá,Llamada,Efectiva
GES00079,2026-02-28,Asesor_003,Bogotá,Llamada,Efectiva
GES00080,2025-08-01,Asesor_003,Bogotá,Llamada,No efectiva
GES00081,2026-06-13,Asesor_003,Bogotá,Email,No efectiva
GES00082,2026-05-15,Asesor_003,Bogotá,Visita,No efectiva
GES00083,2026-03-22,Asesor_003,Bogotá,Email,Efectiva
GES00084,2025-08-28,Asesor_003,Bogotá,Visita,No efectiva
GES00085,2026-01-17,Asesor_003,Bogotá,WhatsApp,No efectiva
GES00086,2026-02-03,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00087,2026-07-04,Asesor_003,Bogotá,Visita,Efectiva
GES00088,2026-01-29,Asesor_003,Bogotá,Email,Efectiva
GES00089,2026-02-08,Asesor_003,Bogotá,Llamada,Efectiva
GES00090,2025-10-24,Asesor_003,Bogotá,WhatsApp,Efectiva
GES00091,2026-02-26,Asesor_003,Bogotá,Llamada,Efectiva
GES00092,2025-11-09,Asesor_003,Bogotá,Visita,Efectiva
GES00093,2026-02-18,Asesor_003,Bogotá,Visita,Efectiva
GES00094,2025-11-06,Asesor_003,Bogotá,Email,Efectiva
GES00095,2026-03-01,Asesor_003,Bogotá,Llamada,No efectiva
GES00096,2026-07-11,Asesor_003,Bogotá,Llamada,No efectiva
GES00097,2026-03-23,Asesor_004,Bogotá,Visita,No efectiva
GES00098,2025-08-03,Asesor_004,Bogotá,Llamada,Efectiva
GES00099,2026-03-10,Asesor_004,Bogotá,WhatsApp,No efectiva
GES00100,2025-10-30,Asesor_004,Bogotá,Visita,No efectiva
GES00101,2025-10-05,Asesor_004,Bogotá,Llamada,Efectiva
GES00102,2026-06-04,Asesor_004,Bogotá,Email,Efectiva
GES00103,2026-02-13,Asesor_004,Bogotá,WhatsApp,No efectiva
GES00104,2025-12-06,Asesor_004,Bogotá,Email,Efectiva
GES00105,2026-01-23,Asesor_004,Bogotá,Email,Efectiva
GES00106,2025-10-08,Asesor_004,Bogotá,Visita,Efectiva
GES00107,2026-04-20,Asesor_004,Bogotá,Email,No efectiva
GES00108,2026-05-08,Asesor_004,Bogotá,Email,No efectiva
GES00109,2026-05-11,Asesor_004,Bogotá,Visita,Efectiva
GES00110,2026-06-16,Asesor_004,Bogotá,Email,No efectiva
GES00111,2026-07-11,Asesor_004,Bogotá,Visita,No efectiva
GES00112,2026-06-29,Asesor_004,Bogotá,Visita,Efectiva
GES00113,2026-06-23,Asesor_004,Bogotá,Email,No efectiva
GES00114,2026-01-28,Asesor_004,Bogotá,WhatsApp,Efectiva
GES00115,2026-07-08,Asesor_004,Bogotá,WhatsApp,No efectiva
GES00116,2026-05-01,Asesor_004,Bogotá,Email,No efectiva
GES00117,2026-03-05,Asesor_004,Bogotá,Llamada,Efectiva
GES00118,2025-08-13,Asesor_004,Bogotá,WhatsApp,Efectiva
GES00119,2026-07-10,Asesor_004,Bogotá,Llamada,Efectiva
GES00120,2025-10-22,Asesor_004,Bogotá,Email,No efectiva
GES00121,2025-10-14,Asesor_004,Bogotá,Llamada,No efectiva
GES00122,2025-12-30,Asesor_004,Bogotá,Visita,No efectiva
GES00123,2025-08-17,Asesor_004,Bogotá,Email,No efectiva
GES00124,2025-09-22,Asesor_004,Bogotá,Visita,No efectiva
GES00125,2026-05-15,Asesor_004,Bogotá,WhatsApp,Efectiva
GES00126,2025-12-26,Asesor_005,Bogotá,Llamada,No efectiva
GES00127,2026-02-15,Asesor_005,Bogotá,WhatsApp,No efectiva
GES00128,2026-01-08,Asesor_005,Bogotá,Llamada,Efectiva
GES00129,2025-12-07,Asesor_005,Bogotá,Visita,No efectiva
GES00130,2026-03-15,Asesor_005,Bogotá,Visita,No efectiva
GES00131,2026-06-28,Asesor_005,Bogotá,Email,No efectiva
GES00132,2026-05-07,Asesor_005,Bogotá,Visita,No efectiva
GES00133,2025-11-08,Asesor_005,Bogotá,Email,Efectiva
GES00134,2025-09-08,Asesor_005,Bogotá,Visita,No efectiva
GES00135,2026-04-21,Asesor_005,Bogotá,Llamada,Efectiva
GES00136,2026-03-08,Asesor_005,Bogotá,Email,Efectiva
GES00137,2025-10-06,Asesor_005,Bogotá,Visita,No efectiva
GES00138,2025-12-09,Asesor_005,Bogotá,Llamada,Efectiva
GES00139,2025-10-19,Asesor_005,Bogotá,Llamada,Efectiva
GES00140,2026-01-13,Asesor_005,Bogotá,Llamada,No efectiva
GES00141,2026-06-17,Asesor_005,Bogotá,Email,Efectiva
GES00142,2026-05-21,Asesor_005,Bogotá,Email,Efectiva
GES00143,2026-01-10,Asesor_005,Bogotá,Visita,No efectiva
GES00144,2026-04-24,Asesor_005,Bogotá,Llamada,No efectiva
GES00145,2025-10-21,Asesor_005,Bogotá,WhatsApp,Efectiva
GES00146,2026-02-23,Asesor_005,Bogotá,Llamada,Efectiva
GES00147,2025-11-18,Asesor_005,Bogotá,Email,Efectiva
GES00148,2025-12-29,Asesor_005,Bogotá,Visita,No efectiva
GES00149,2026-06-13,Asesor_005,Bogotá,WhatsApp,No efectiva
GES00150,2026-06-29,Asesor_005,Bogotá,Llamada,Efectiva
GES00151,2026-01-25,Asesor_005,Bogotá,WhatsApp,Efectiva
GES00152,2026-06-25,Asesor_005,Bogotá,Visita,No efectiva
GES00153,2026-01-12,Asesor_005,Bogotá,WhatsApp,No efectiva
GES00154,2025-09-28,Asesor_005,Bogotá,WhatsApp,Efectiva
GES00155,2025-12-23,Asesor_005,Bogotá,Llamada,No efectiva
GES00156,2026-02-08,Asesor_005,Bogotá,WhatsApp,Efectiva
GES00157,2025-12-30,Asesor_005,Bogotá,Visita,Efectiva
GES00158,2025-09-12,Asesor_005,Bogotá,Llamada,Efectiva
GES00159,2026-05-03,Asesor_005,Bogotá,Llamada,No efectiva
GES00160,2025-11-16,Asesor_005,Bogotá,Visita,No efectiva
GES00161,2026-03-06,Asesor_005,Bogotá,Llamada,Efectiva
GES00162,2026-03-11,Asesor_005,Bogotá,Llamada,No efectiva
GES00163,2025-10-18,Asesor_005,Bogotá,Llamada,Efectiva
GES00164,2026-01-17,Asesor_005,Bogotá,Llamada,Efectiva
GES00165,2025-08-28,Asesor_005,Bogotá,Visita,No efectiva
GES00166,2025-09-06,Asesor_006,Bogotá,Visita,No efectiva
GES00167,2026-02-25,Asesor_006,Bogotá,WhatsApp,Efectiva
GES00168,2026-02-24,Asesor_006,Bogotá,WhatsApp,Efectiva
GES00169,2026-02-16,Asesor_006,Bogotá,Llamada,Efectiva
GES00170,2026-06-25,Asesor_006,Bogotá,Llamada,No efectiva
GES00171,2026-05-27,Asesor_006,Bogotá,Llamada,No efectiva
GES00172,2025-09-07,Asesor_006,Bogotá,Email,No efectiva
GES00173,2025-09-24,Asesor_006,Bogotá,Email,No efectiva
GES00174,2026-01-02,Asesor_006,Bogotá,Llamada,Efectiva
GES00175,2026-03-13,Asesor_006,Bogotá,WhatsApp,Efectiva
GES00176,2026-07-05,Asesor_006,Bogotá,Llamada,Efectiva
GES00177,2026-05-01,Asesor_006,Bogotá,Visita,Efectiva
GES00178,2026-02-17,Asesor_006,Bogotá,Email,No efectiva
GES00179,2025-10-13,Asesor_006,Bogotá,Email,No efectiva
GES00180,2026-06-28,Asesor_006,Bogotá,Email,No efectiva
GES00181,2025-08-06,Asesor_006,Bogotá,Visita,Efectiva
GES00182,2025-08-03,Asesor_006,Bogotá,WhatsApp,Efectiva
GES00183,2025-09-13,Asesor_006,Bogotá,Email,Efectiva
GES00184,2026-01-24,Asesor_006,Bogotá,Visita,Efectiva
GES00185,2026-06-27,Asesor_006,Bogotá,Visita,Efectiva
GES00186,2025-11-22,Asesor_006,Bogotá,Email,Efectiva
GES00187,2025-11-01,Asesor_006,Bogotá,Llamada,No efectiva
GES00188,2026-05-09,Asesor_006,Bogotá,WhatsApp,No efectiva
GES00189,2025-09-07,Asesor_006,Bogotá,Email,No efectiva
GES00190,2025-12-07,Asesor_006,Bogotá,Llamada,Efectiva
GES00191,2026-05-25,Asesor_006,Bogotá,WhatsApp,No efectiva
GES00192,2026-01-30,Asesor_006,Bogotá,Visita,No efectiva
GES00193,2025-11-29,Asesor_006,Bogotá,Llamada,Efectiva
GES00194,2025-09-05,Asesor_006,Bogotá,Visita,Efectiva
GES00195,2026-03-19,Asesor_006,Bogotá,Email,No efectiva
GES00196,2026-01-04,Asesor_006,Bogotá,Visita,Efectiva
GES00197,2026-02-03,Asesor_006,Bogotá,Email,No efectiva
GES00198,2025-08-03,Asesor_007,Antioquia,Email,Efectiva
GES00199,2025-11-22,Asesor_007,Antioquia,WhatsApp,Efectiva
GES00200,2026-02-01,Asesor_007,Antioquia,Visita,No efectiva
GES00201,2026-01-17,Asesor_007,Antioquia,WhatsApp,No efectiva
GES00202,2026-01-31,Asesor_007,Antioquia,Email,No efectiva
GES00203,2025-09-25,Asesor_007,Antioquia,Visita,No efectiva
GES00204,2025-09-11,Asesor_007,Antioquia,Email,No efectiva
GES00205,2025-10-11,Asesor_007,Antioquia,Visita,Efectiva
GES00206,2026-06-17,Asesor_007,Antioquia,Llamada,No efectiva
GES00207,2025-08-10,Asesor_007,Antioquia,Llamada,No efectiva
GES00208,2026-05-24,Asesor_007,Antioquia,WhatsApp,No efectiva
GES00209,2025-11-17,Asesor_007,Antioquia,Llamada,No efectiva
GES00210,2026-05-06,Asesor_007,Antioquia,WhatsApp,No efectiva
GES00211,2025-10-16,Asesor_007,Antioquia,Email,No efectiva
GES00212,2026-05-29,Asesor_007,Antioquia,Email,Efectiva
GES00213,2026-04-14,Asesor_007,Antioquia,Llamada,No efectiva
GES00214,2026-04-15,Asesor_007,Antioquia,Llamada,No efectiva
GES00215,2026-06-11,Asesor_007,Antioquia,Visita,No efectiva
GES00216,2025-10-11,Asesor_007,Antioquia,WhatsApp,Efectiva
GES00217,2026-05-17,Asesor_007,Antioquia,Visita,No efectiva
GES00218,2026-01-31,Asesor_008,Antioquia,Llamada,Efectiva
GES00219,2026-04-07,Asesor_008,Antioquia,Visita,Efectiva
GES00220,2026-02-06,Asesor_008,Antioquia,Visita,Efectiva
GES00221,2025-11-14,Asesor_008,Antioquia,Email,Efectiva
GES00222,2026-03-21,Asesor_008,Antioquia,Llamada,Efectiva
GES00223,2026-06-29,Asesor_008,Antioquia,Email,Efectiva
GES00224,2026-04-24,Asesor_008,Antioquia,Email,No efectiva
GES00225,2025-12-13,Asesor_008,Antioquia,Visita,Efectiva
GES00226,2026-02-10,Asesor_008,Antioquia,Email,No efectiva
GES00227,2025-09-09,Asesor_008,Antioquia,Email,Efectiva
GES00228,2025-11-23,Asesor_008,Antioquia,WhatsApp,Efectiva
GES00229,2026-01-24,Asesor_008,Antioquia,WhatsApp,No efectiva
GES00230,2026-06-06,Asesor_008,Antioquia,Llamada,No efectiva
GES00231,2025-10-11,Asesor_008,Antioquia,WhatsApp,Efectiva
GES00232,2025-09-09,Asesor_008,Antioquia,Email,Efectiva
GES00233,2025-11-04,Asesor_008,Antioquia,Visita,Efectiva
GES00234,2025-09-30,Asesor_008,Antioquia,Visita,No efectiva
GES00235,2026-01-17,Asesor_008,Antioquia,Llamada,No efectiva
GES00236,2026-04-03,Asesor_008,Antioquia,WhatsApp,Efectiva
GES00237,2025-10-22,Asesor_008,Antioquia,WhatsApp,Efectiva
GES00238,2025-08-23,Asesor_008,Antioquia,Visita,No efectiva
GES00239,2025-10-22,Asesor_008,Antioquia,Visita,No efectiva
GES00240,2025-08-21,Asesor_008,Antioquia,Visita,Efectiva
GES00241,2025-12-11,Asesor_008,Antioquia,Visita,No efectiva
GES00242,2026-02-24,Asesor_008,Antioquia,Llamada,No efectiva
GES00243,2026-07-05,Asesor_008,Antioquia,Email,No efectiva
GES00244,2025-11-19,Asesor_008,Antioquia,WhatsApp,No efectiva
GES00245,2026-03-30,Asesor_008,Antioquia,WhatsApp,Efectiva
GES00246,2026-02-27,Asesor_008,Antioquia,Visita,No efectiva
GES00247,2025-11-02,Asesor_008,Antioquia,Email,Efectiva
GES00248,2026-01-23,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00249,2025-09-05,Asesor_009,Antioquia,Visita,Efectiva
GES00250,2025-10-07,Asesor_009,Antioquia,Llamada,Efectiva
GES00251,2026-04-25,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00252,2026-06-07,Asesor_009,Antioquia,Llamada,Efectiva
GES00253,2026-06-11,Asesor_009,Antioquia,Llamada,No efectiva
GES00254,2026-04-30,Asesor_009,Antioquia,Llamada,Efectiva
GES00255,2026-07-04,Asesor_009,Antioquia,Visita,No efectiva
GES00256,2026-05-04,Asesor_009,Antioquia,Llamada,No efectiva
GES00257,2026-07-14,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00258,2026-02-06,Asesor_009,Antioquia,Llamada,No efectiva
GES00259,2026-03-08,Asesor_009,Antioquia,Visita,No efectiva
GES00260,2026-04-04,Asesor_009,Antioquia,WhatsApp,Efectiva
GES00261,2026-05-22,Asesor_009,Antioquia,Llamada,No efectiva
GES00262,2025-12-09,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00263,2025-09-12,Asesor_009,Antioquia,Email,No efectiva
GES00264,2026-05-06,Asesor_009,Antioquia,WhatsApp,Efectiva
GES00265,2025-08-03,Asesor_009,Antioquia,Llamada,No efectiva
GES00266,2025-09-30,Asesor_009,Antioquia,Llamada,Efectiva
GES00267,2025-11-14,Asesor_009,Antioquia,Email,No efectiva
GES00268,2025-09-24,Asesor_009,Antioquia,Visita,No efectiva
GES00269,2026-05-27,Asesor_009,Antioquia,Email,Efectiva
GES00270,2026-05-02,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00271,2026-06-10,Asesor_009,Antioquia,Email,No efectiva
GES00272,2026-02-20,Asesor_009,Antioquia,Visita,No efectiva
GES00273,2026-05-13,Asesor_009,Antioquia,WhatsApp,Efectiva
GES00274,2026-05-14,Asesor_009,Antioquia,WhatsApp,Efectiva
GES00275,2026-01-05,Asesor_009,Antioquia,Email,No efectiva
GES00276,2026-02-20,Asesor_009,Antioquia,Visita,No efectiva
GES00277,2026-07-04,Asesor_009,Antioquia,Llamada,No efectiva
GES00278,2026-03-17,Asesor_009,Antioquia,Visita,Efectiva
GES00279,2026-04-18,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00280,2026-05-09,Asesor_009,Antioquia,Llamada,Efectiva
GES00281,2026-06-22,Asesor_009,Antioquia,Llamada,No efectiva
GES00282,2025-10-14,Asesor_009,Antioquia,WhatsApp,No efectiva
GES00283,2026-03-11,Asesor_009,Antioquia,Llamada,Efectiva
GES00284,2026-02-06,Asesor_010,Antioquia,Llamada,No efectiva
GES00285,2026-02-13,Asesor_010,Antioquia,WhatsApp,No efectiva
GES00286,2026-04-24,Asesor_010,Antioquia,Email,No efectiva
GES00287,2026-06-02,Asesor_010,Antioquia,Llamada,No efectiva
GES00288,2025-10-29,Asesor_010,Antioquia,WhatsApp,Efectiva
GES00289,2025-11-12,Asesor_010,Antioquia,Email,Efectiva
GES00290,2026-06-03,Asesor_010,Antioquia,Visita,No efectiva
GES00291,2026-07-12,Asesor_010,Antioquia,Llamada,Efectiva
GES00292,2026-07-02,Asesor_010,Antioquia,Llamada,No efectiva
GES00293,2025-09-14,Asesor_010,Antioquia,Email,No efectiva
GES00294,2026-01-28,Asesor_010,Antioquia,WhatsApp,Efectiva
GES00295,2025-11-11,Asesor_010,Antioquia,Llamada,No efectiva
GES00296,2025-09-05,Asesor_010,Antioquia,Llamada,No efectiva
GES00297,2026-05-14,Asesor_010,Antioquia,Email,Efectiva
GES00298,2025-12-20,Asesor_010,Antioquia,Visita,No efectiva
GES00299,2025-11-08,Asesor_010,Antioquia,WhatsApp,No efectiva
GES00300,2026-05-22,Asesor_010,Antioquia,Llamada,Efectiva
GES00301,2026-02-25,Asesor_010,Antioquia,Llamada,No efectiva
GES00302,2026-04-15,Asesor_010,Antioquia,Email,Efectiva
GES00303,2025-09-29,Asesor_010,Antioquia,Email,No efectiva
GES00304,2026-05-22,Asesor_010,Antioquia,Email,No efectiva
GES00305,2026-02-10,Asesor_010,Antioquia,WhatsApp,No efectiva
GES00306,2026-01-21,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00307,2026-05-28,Asesor_011,Antioquia,Llamada,Efectiva
GES00308,2025-12-11,Asesor_011,Antioquia,Llamada,Efectiva
GES00309,2025-11-21,Asesor_011,Antioquia,Visita,No efectiva
GES00310,2026-02-28,Asesor_011,Antioquia,Email,Efectiva
GES00311,2025-08-05,Asesor_011,Antioquia,Email,Efectiva
GES00312,2025-09-17,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00313,2026-01-23,Asesor_011,Antioquia,Llamada,Efectiva
GES00314,2025-10-31,Asesor_011,Antioquia,WhatsApp,Efectiva
GES00315,2025-11-20,Asesor_011,Antioquia,Email,Efectiva
GES00316,2025-11-06,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00317,2025-11-29,Asesor_011,Antioquia,Visita,No efectiva
GES00318,2025-11-14,Asesor_011,Antioquia,Visita,Efectiva
GES00319,2025-12-06,Asesor_011,Antioquia,Email,Efectiva
GES00320,2025-09-24,Asesor_011,Antioquia,Llamada,No efectiva
GES00321,2026-07-13,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00322,2026-05-05,Asesor_011,Antioquia,Llamada,No efectiva
GES00323,2026-02-07,Asesor_011,Antioquia,Email,Efectiva
GES00324,2026-05-22,Asesor_011,Antioquia,Email,Efectiva
GES00325,2026-04-19,Asesor_011,Antioquia,Email,Efectiva
GES00326,2026-05-23,Asesor_011,Antioquia,Visita,Efectiva
GES00327,2026-03-05,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00328,2025-08-17,Asesor_011,Antioquia,Email,Efectiva
GES00329,2025-10-29,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00330,2026-04-23,Asesor_011,Antioquia,WhatsApp,Efectiva
GES00331,2025-08-05,Asesor_011,Antioquia,Llamada,No efectiva
GES00332,2026-02-11,Asesor_011,Antioquia,Llamada,Efectiva
GES00333,2026-06-10,Asesor_011,Antioquia,Email,Efectiva
GES00334,2025-12-13,Asesor_011,Antioquia,Visita,Efectiva
GES00335,2026-06-10,Asesor_011,Antioquia,Email,Efectiva
GES00336,2026-04-13,Asesor_011,Antioquia,WhatsApp,Efectiva
GES00337,2026-02-07,Asesor_011,Antioquia,Email,No efectiva
GES00338,2025-12-22,Asesor_011,Antioquia,WhatsApp,Efectiva
GES00339,2025-10-07,Asesor_011,Antioquia,Visita,No efectiva
GES00340,2025-12-17,Asesor_011,Antioquia,Visita,Efectiva
GES00341,2026-02-12,Asesor_011,Antioquia,Visita,Efectiva
GES00342,2025-10-16,Asesor_011,Antioquia,WhatsApp,No efectiva
GES00343,2025-10-30,Asesor_011,Antioquia,WhatsApp,Efectiva
GES00344,2026-06-19,Asesor_011,Antioquia,Email,No efectiva
GES00345,2025-12-07,Asesor_012,Antioquia,Llamada,Efectiva
GES00346,2025-10-23,Asesor_012,Antioquia,Llamada,Efectiva
GES00347,2025-12-09,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00348,2025-09-19,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00349,2025-12-12,Asesor_012,Antioquia,Email,Efectiva
GES00350,2026-05-13,Asesor_012,Antioquia,Email,Efectiva
GES00351,2026-02-27,Asesor_012,Antioquia,Llamada,Efectiva
GES00352,2026-07-14,Asesor_012,Antioquia,Visita,No efectiva
GES00353,2026-06-29,Asesor_012,Antioquia,Visita,No efectiva
GES00354,2025-12-24,Asesor_012,Antioquia,Email,Efectiva
GES00355,2026-04-19,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00356,2026-03-17,Asesor_012,Antioquia,Llamada,Efectiva
GES00357,2025-12-25,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00358,2025-10-14,Asesor_012,Antioquia,Visita,No efectiva
GES00359,2026-01-20,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00360,2026-05-20,Asesor_012,Antioquia,WhatsApp,No efectiva
GES00361,2025-09-06,Asesor_012,Antioquia,Llamada,Efectiva
GES00362,2025-11-25,Asesor_012,Antioquia,Email,Efectiva
GES00363,2025-12-28,Asesor_012,Antioquia,Email,No efectiva
GES00364,2026-02-19,Asesor_012,Antioquia,Email,No efectiva
GES00365,2026-02-02,Asesor_012,Antioquia,WhatsApp,Efectiva
GES00366,2025-11-03,Asesor_012,Antioquia,Llamada,Efectiva
GES00367,2025-11-29,Asesor_012,Antioquia,Email,No efectiva
GES00368,2025-09-10,Asesor_012,Antioquia,Visita,Efectiva
GES00369,2025-09-18,Asesor_013,Valle,Llamada,No efectiva
GES00370,2026-03-31,Asesor_013,Valle,Llamada,Efectiva
GES00371,2026-02-20,Asesor_013,Valle,Llamada,Efectiva
GES00372,2026-06-13,Asesor_013,Valle,Visita,Efectiva
GES00373,2026-02-16,Asesor_013,Valle,Email,Efectiva
GES00374,2025-12-24,Asesor_013,Valle,WhatsApp,No efectiva
GES00375,2025-10-07,Asesor_013,Valle,Visita,Efectiva
GES00376,2026-07-06,Asesor_013,Valle,Email,No efectiva
GES00377,2026-01-14,Asesor_013,Valle,WhatsApp,No efectiva
GES00378,2026-05-04,Asesor_013,Valle,Email,No efectiva
GES00379,2025-10-09,Asesor_013,Valle,Visita,No efectiva
GES00380,2026-03-22,Asesor_013,Valle,WhatsApp,No efectiva
GES00381,2026-06-24,Asesor_013,Valle,Email,No efectiva
GES00382,2026-04-04,Asesor_013,Valle,Visita,No efectiva
GES00383,2026-03-15,Asesor_013,Valle,Email,Efectiva
GES00384,2025-12-12,Asesor_013,Valle,Visita,Efectiva
GES00385,2025-08-01,Asesor_013,Valle,Visita,Efectiva
GES00386,2026-03-29,Asesor_013,Valle,Llamada,No efectiva
GES00387,2026-04-02,Asesor_014,Valle,Email,Efectiva
GES00388,2026-03-09,Asesor_014,Valle,Email,No efectiva
GES00389,2025-08-04,Asesor_014,Valle,Email,Efectiva
GES00390,2026-05-15,Asesor_014,Valle,WhatsApp,Efectiva
GES00391,2025-10-23,Asesor_014,Valle,WhatsApp,No efectiva
