id_poliza,fecha_emision,asesor,regional,canal,producto,prima_mensual,estado,dias_mora
POL00038,2025-12-21,Asesor_012,Antioquia,Bancaseguros,Exequial,747700,Vigente,0
POL00039,2025-09-20,Asesor_036,Santanderes,Negocios Masivos,Vida Deudor,849400,Cancelada,0
POL00040,2025-11-30,Asesor_006,Bogotá,Affinity,Salud a su Medida,430800,Vigente,0
POL00041,2025-08-31,Asesor_026,Costa,Affinity,Salud a su Medida,36800,Vigente,0
POL00042,2025-12-25,Asesor_030,Eje Cafetero,Negocios Masivos,Exequial,815200,Mora,72
POL00043,2025-10-19,Asesor_032,Eje Cafetero,Affinity,Salud a su Medida,212400,Vigente,0
POL00044,2025-09-01,Asesor_035,Santanderes,Bancaseguros,Hogar,75900,Vigente,0
POL00045,2025-10-20,Asesor_034,Eje Cafetero,Negocios Masivos,Vida Deudor,100300,Vigente,0
POL00046,2025-09-04,Asesor_039,Santanderes,Affinity,Salud a su Medida,132700,Cancelada,0
POL00047,2026-05-24,Asesor_016,Valle,Bancaseguros,Accidentes Personales,539800,Vigente,0
POL00048,2026-05-17,Asesor_038,Santanderes,Affinity,Accidentes Personales,796800,Vigente,0
POL00049,2025-12-01,Asesor_021,Costa,Affinity,Hogar,141700,Vigente,0
POL00050,2026-01-09,Asesor_030,Eje Cafetero,Bancaseguros,Vida Deudor,408500,Mora,13
POL00051,2026-05-03,Asesor_005,Bogotá,Negocios Masivos,Salud a su Medida,251100,Mora,113
POL00052,2025-12-04,Asesor_005,Bogotá,Affinity,Hogar,163600,Cancelada,0
POL00053,2026-06-10,Asesor_020,Valle,Bancaseguros,Accidentes Personales,579300,Vigente,0
POL00054,2025-10-08,Asesor_007,Antioquia,Bancaseguros,Hogar,760100,Vigente,0
POL00055,2025-12-18,Asesor_010,Antioquia,Negocios Masivos,Hogar,206700,Vigente,0
POL00056,2025-12-14,Asesor_041,Santanderes,Affinity,Accidentes Personales,239700,Mora,7
POL00057,2026-06-21,Asesor_006,Bogotá,Affinity,Exequial,70900,Vigente,0
POL00058,2026-06-23,Asesor_009,Antioquia,Bancaseguros,Hogar,639100,Vigente,0
POL00059,2026-05-15,Asesor_028,Eje Cafetero,Bancaseguros,Vida Deudor,96300,Cancelada,0
POL00060,2026-05-07,Asesor_010,Antioquia,Affinity,Vida Deudor,509700,Vigente,0
POL00061,2025-08-22,Asesor_009,Antioquia,Affinity,Hogar,767700,Cancelada,0
POL00062,2026-01-31,Asesor_003,Bogotá,Negocios Masivos,Salud a su Medida,238400,Vigente,0
POL00063,2026-02-25,Asesor_036,Santanderes,Negocios Masivos,Accidentes Personales,161000,Mora,111
POL00064,2025-10-30,Asesor_011,Antioquia,Bancaseguros,Exequial,181200,Mora,101
POL00065,2026-07-09,Asesor_027,Costa,Affinity,Salud a su Medida,164700,Vigente,0
POL00066,2025-08-20,Asesor_025,Costa,Bancaseguros,Exequial,197700,Mora,45
POL00067,2025-11-25,Asesor_020,Valle,Bancaseguros,Salud a su Medida,572900,Vigente,0
POL00068,2025-09-05,Asesor_018,Valle,Affinity,Hogar,557800,Vigente,0
POL00069,2026-01-17,Asesor_035,Santanderes,Bancaseguros,Vida Deudor,749800,Vigente,0
POL00070,2025-12-14,Asesor_038,Santanderes,Bancaseguros,Vida Deudor,521200,Vigente,0
POL00071,2026-03-12,Asesor_021,Costa,Negocios Masivos,Accidentes Personales,129300,Cancelada,0
POL00072,2025-12-09,Asesor_013,Valle,Negocios Masivos,Vida Deudor,390400,Vigente,0
POL00073,2026-07-10,Asesor_035,Santanderes,Affinity,Salud a su Medida,386500,Mora,118
POL00074,2026-06-16,Asesor_022,Costa,Negocios Masivos,Hogar,726100,Vigente,0
POL00075,2026-04-17,Asesor_020,Valle,Negocios Masivos,Hogar,367800,Vigente,0
POL00076,2026-05-11,Asesor_019,Valle,Bancaseguros,Salud a su Medida,377700,Mora,87
POL00077,2026-06-12,Asesor_012,Antioquia,Affinity,Accidentes Personales,366000,Cancelada,0
POL00078,2025-12-25,Asesor_020,Valle,Affinity,Salud a su Medida,675400,Vigente,0
POL00079,2026-03-27,Asesor_021,Costa,Affinity,Exequial,585600,Vigente,0
POL00080,2026-07-04,Asesor_011,Antioquia,Affinity,Vida Deudor,455100,Vigente,0
POL00081,2025-09-17,Asesor_022,Costa,Negocios Masivos,Salud a su Medida,288000,Cancelada,0
POL00082,2025-08-13,Asesor_010,Antioquia,Bancaseguros,Vida Deudor,836900,Vigente,0
POL00083,2026-03-22,Asesor_005,Bogotá,Negocios Masivos,Exequial,504200,Vigente,0
POL00084,2026-04-11,Asesor_025,Costa,Bancaseguros,Exequial,155300,Vigente,0
POL00085,2026-03-06,Asesor_007,Antioquia,Bancaseguros,Salud a su Medida,690300,Vigente,0
POL00086,2025-08-26,Asesor_030,Eje Cafetero,Bancaseguros,Accidentes Personales,782700,Vigente,0
POL00087,2026-03-26,Asesor_009,Antioquia,Negocios Masivos,Accidentes Personales,520300,Mora,115
POL00088,2026-06-10,Asesor_029,Eje Cafetero,Affinity,Accidentes Personales,711900,Vigente,0
POL00089,2026-04-01,Asesor_011,Antioquia,Affinity,Exequial,647700,Cancelada,0
POL00090,2026-04-24,Asesor_018,Valle,Negocios Masivos,Exequial,230000,Vigente,0
POL00091,2025-11-29,Asesor_019,Valle,Affinity,Hogar,295600,Vigente,0
POL00092,2025-10-17,Asesor_009,Antioquia,Affinity,Salud a su Medida,600600,Vigente,0
POL00093,2026-03-01,Asesor_005,Bogotá,Affinity,Exequial,477200,Vigente,0
POL00094,2026-03-04,Asesor_014,Valle,Negocios Masivos,Exequial,806000,Vigente,0
POL00095,2026-02-11,Asesor_037,Santanderes,Bancaseguros,Exequial,803300,Vigente,0
POL00096,2026-03-03,Asesor_025,Costa,Negocios Masivos,Accidentes Personales,633700,Cancelada,0
POL00097,2026-04-07,Asesor_015,Valle,Affinity,Salud a su Medida,390200,Vigente,0
POL00098,2026-07-09,Asesor_022,Costa,Negocios Masivos,Exequial,169500,Vigente,0
POL00099,2026-06-15,Asesor_009,Antioquia,Bancaseguros,Accidentes Personales,774100,Vigente,0
POL00100,2025-09-12,Asesor_002,Bogotá,Bancaseguros,Exequial,741500,Vigente,0
POL00101,2026-02-11,Asesor_017,Valle,Bancaseguros,Hogar,405600,Vigente,0
POL00102,2025-12-21,Asesor_025,Costa,Affinity,Exequial,715500,Vigente,0
POL00103,2025-08-27,Asesor_035,Santanderes,Bancaseguros,Hogar,564900,Cancelada,0
POL00104,2025-08-16,Asesor_003,Bogotá,Bancaseguros,Salud a su Medida,719000,Vigente,0
POL00105,2025-10-04,Asesor_016,Valle,Negocios Masivos,Exequial,128200,Mora,60
POL00106,2026-02-05,Asesor_017,Valle,Negocios Masivos,Salud a su Medida,529900,Vigente,0
POL00107,2025-10-23,Asesor_008,Antioquia,Bancaseguros,Hogar,506600,Mora,74
POL00108,2026-02-20,Asesor_025,Costa,Bancaseguros,Salud a su Medida,517600,Cancelada,0
POL00109,2025-09-22,Asesor_016,Valle,Negocios Masivos,Hogar,524300,Vigente,0
POL00110,2025-08-22,Asesor_037,Santanderes,Negocios Masivos,Hogar,384100,Vigente,0
POL00111,2026-06-28,Asesor_033,Eje Cafetero,Bancaseguros,Hogar,727400,Cancelada,0
POL00112,2026-03-10,Asesor_007,Antioquia,Negocios Masivos,Hogar,761600,Vigente,0
POL00113,2026-03-11,Asesor_010,Antioquia,Negocios Masivos,Salud a su Medida,460200,Vigente,0
POL00114,2026-05-03,Asesor_040,Santanderes,Affinity,Exequial,390000,Vigente,0
POL00115,2026-01-13,Asesor_018,Valle,Bancaseguros,Salud a su Medida,262300,Vigente,0
POL00116,2026-05-19,Asesor_030,Eje Cafetero,Negocios Masivos,Accidentes Personales,343900,Vigente,0
POL00117,2025-11-02,Asesor_021,Costa,Bancaseguros,Exequial,324200,Vigente,0
POL00118,2026-06-02,Asesor_018,Valle,Negocios Masivos,Hogar,43300,Mora,11
POL00119,2026-02-25,Asesor_016,Valle,Negocios Masivos,Exequial,652900,Vigente,0
POL00120,2026-03-18,Asesor_032,Eje Cafetero,Bancaseguros,Vida Deudor,274800,Vigente,0
POL00121,2026-01-04,Asesor_016,Valle,Affinity,Accidentes Personales,420700,Vigente,0
POL00122,2026-05-09,Asesor_028,Eje Cafetero,Affinity,Hogar,607800,Vigente,0
POL00123,2025-11-27,Asesor_017,Valle,Negocios Masivos,Vida Deudor,192000,Vigente,0
POL00124,2025-11-03,Asesor_035,Santanderes,Bancaseguros,Salud a su Medida,637000,Vigente,0
POL00125,2026-04-26,Asesor_038,Santanderes,Affinity,Accidentes Personales,834100,Cancelada,0
POL00126,2025-11-25,Asesor_019,Valle,Bancaseguros,Hogar,281300,Vigente,0
POL00127,2025-12-19,Asesor_009,Antioquia,Bancaseguros,Vida Deudor,486000,Vigente,0
POL00128,2026-06-23,Asesor_009,Antioquia,Bancaseguros,Exequial,746300,Vigente,0
POL00129,2026-04-03,Asesor_031,Eje Cafetero,Affinity,Exequial,185300,Vigente,0
POL00130,2025-09-28,Asesor_031,Eje Cafetero,Affinity,Vida Deudor,435800,Vigente,0
POL00131,2025-10-17,Asesor_004,Bogotá,Negocios Masivos,Salud a su Medida,808500,Vigente,0
POL00132,2025-09-30,Asesor_016,Valle,Affinity,Accidentes Personales,529100,Cancelada,0
POL00133,2026-04-25,Asesor_015,Valle,Affinity,Exequial,775400,Vigente,0
POL00134,2026-03-08,Asesor_038,Santanderes,Negocios Masivos,Hogar,541100,Vigente,0
POL00135,2025-11-15,Asesor_007,Antioquia,Affinity,Salud a su Medida,573200,Vigente,0
POL00136,2026-05-10,Asesor_012,Antioquia,Bancaseguros,Vida Deudor,37200,Vigente,0
POL00137,2026-03-29,Asesor_039,Santanderes,Bancaseguros,Hogar,223700,Vigente,0
POL00138,2025-09-06,Asesor_030,Eje Cafetero,Affinity,Salud a su Medida,677100,Vigente,0
POL00139,2026-03-06,Asesor_013,Valle,Negocios Masivos,Vida Deudor,218200,Vigente,0
POL00140,2025-10-12,Asesor_018,Valle,Bancaseguros,Vida Deudor,170200,Vigente,0
POL00141,2025-12-26,Asesor_037,Santanderes,Bancaseguros,Exequial,417000,Vigente,0
POL00142,2025-12-18,Asesor_026,Costa,Negocios Masivos,Accidentes Personales,437400,Vigente,0
POL00143,2026-03-10,Asesor_003,Bogotá,Negocios Masivos,Hogar,239000,Vigente,0
POL00144,2026-05-28,Asesor_037,Santanderes,Negocios Masivos,Vida Deudor,704500,Vigente,0
POL00145,2026-03-29,Asesor_012,Antioquia,Negocios Masivos,Accidentes Personales,395400,Vigente,0
POL00146,2026-03-12,Asesor_038,Santanderes,Bancaseguros,Exequial,418100,Vigente,0
POL00147,2026-07-10,Asesor_021,Costa,Bancaseguros,Vida Deudor,303800,Vigente,0
POL00148,2026-07-06,Asesor_019,Valle,Negocios Masivos,Exequial,64900,Vigente,0
POL00149,2026-01-13,Asesor_017,Valle,Affinity,Vida Deudor,739900,Cancelada,0
POL00150,2026-07-03,Asesor_001,Bogotá,Affinity,Accidentes Personales,371800,Vigente,0
POL00151,2026-06-15,Asesor_024,Costa,Negocios Masivos,Exequial,395300,Vigente,0
POL00152,2026-05-09,Asesor_018,Valle,Affinity,Salud a su Medida,392100,Vigente,0
POL00153,2025-08-15,Asesor_008,Antioquia,Bancaseguros,Accidentes Personales,613500,Vigente,0
POL00154,2026-05-10,Asesor_001,Bogotá,Bancaseguros,Exequial,218100,Cancelada,0
POL00155,2026-03-25,Asesor_008,Antioquia,Negocios Masivos,Vida Deudor,713200,Vigente,0
POL00156,2026-04-18,Asesor_019,Valle,Affinity,Hogar,715300,Mora,32
POL00157,2026-05-10,Asesor_030,Eje Cafetero,Affinity,Salud a su Medida,190300,Vigente,0
POL00158,2025-09-05,Asesor_009,Antioquia,Affinity,Hogar,312000,Cancelada,0
POL00159,2025-08-02,Asesor_018,Valle,Negocios Masivos,Hogar,278300,Vigente,0
POL00160,2025-10-16,Asesor_032,Eje Cafetero,Negocios Masivos,Exequial,429700,Vigente,0
POL00161,2026-02-10,Asesor_035,Santanderes,Affinity,Exequial,743700,Mora,31
POL00162,2026-02-13,Asesor_037,Santanderes,Affinity,Salud a su Medida,70600,Vigente,0
POL00163,2026-02-14,Asesor_025,Costa,Affinity,Salud a su Medida,821300,Vigente,0
POL00164,2026-01-17,Asesor_038,Santanderes,Affinity,Vida Deudor,116300,Mora,2
POL00165,2026-02-26,Asesor_010,Antioquia,Bancaseguros,Salud a su Medida,417600,Mora,44
POL00166,2026-02-20,Asesor_040,Santanderes,Affinity,Vida Deudor,729700,Cancelada,0
POL00167,2026-01-10,Asesor_025,Costa,Negocios Masivos,Exequial,64300,Vigente,0
POL00168,2025-12-26,Asesor_041,Santanderes,Negocios Masivos,Salud a su Medida,108700,Mora,98
POL00169,2025-09-21,Asesor_041,Santanderes,Bancaseguros,Exequial,600600,Mora,6
POL00170,2025-08-29,Asesor_021,Costa,Affinity,Hogar,340500,Vigente,0
POL00171,2026-02-27,Asesor_034,Eje Cafetero,Negocios Masivos,Accidentes Personales,680900,Vigente,0
POL00172,2026-06-09,Asesor_006,Bogotá,Negocios Masivos,Exequial,591800,Vigente,0
POL00173,2025-10-13,Asesor_038,Santanderes,Affinity,Salud a su Medida,554900,Vigente,0
POL00174,2026-03-27,Asesor_001,Bogotá,Negocios Masivos,Hogar,480500,Vigente,0
POL00175,2026-05-28,Asesor_023,Costa,Negocios Masivos,Hogar,819100,Vigente,0
POL00176,2026-01-02,Asesor_030,Eje Cafetero,Affinity,Salud a su Medida,730500,Vigente,0
POL00177,2026-05-20,Asesor_025,Costa,Negocios Masivos,Hogar,276100,Vigente,0
POL00178,2026-07-04,Asesor_002,Bogotá,Affinity,Exequial,41600,Cancelada,0
POL00179,2026-06-07,Asesor_004,Bogotá,Affinity,Exequial,667200,Vigente,0
POL00180,2025-11-21,Asesor_023,Costa,Negocios Masivos,Salud a su Medida,239300,Vigente,0
POL00181,2026-06-18,Asesor_009,Antioquia,Negocios Masivos,Vida Deudor,561800,Vigente,0
POL00182,2025-08-18,Asesor_029,Eje Cafetero,Affinity,Accidentes Personales,631900,Vigente,0
POL00183,2026-01-15,Asesor_019,Valle,Bancaseguros,Exequial,198600,Cancelada,0
POL00184,2026-04-29,Asesor_024,Costa,Affinity,Accidentes Personales,711800,Vigente,0
POL00185,2025-12-30,Asesor_031,Eje Cafetero,Bancaseguros,Hogar,416700,Vigente,0
POL00186,2026-07-13,Asesor_015,Valle,Negocios Masivos,Exequial,333100,Cancelada,0
POL00187,2025-12-14,Asesor_001,Bogotá,Bancaseguros,Accidentes Personales,405700,Vigente,0
POL00188,2026-05-27,Asesor_017,Valle,Negocios Masivos,Exequial,801300,Vigente,0
POL00189,2026-03-30,Asesor_015,Valle,Negocios Masivos,Vida Deudor,755700,Vigente,0
POL00190,2025-11-22,Asesor_040,Santanderes,Negocios Masivos,Vida Deudor,706400,Mora,39
POL00191,2025-09-29,Asesor_027,Costa,Bancaseguros,Salud a su Medida,806200,Vigente,0
POL00192,2025-09-29,Asesor_032,Eje Cafetero,Bancaseguros,Vida Deudor,758100,Vigente,0
POL00193,2026-02-06,Asesor_030,Eje Cafetero,Affinity,Accidentes Personales,513700,Vigente,0
POL00194,2026-07-02,Asesor_027,Costa,Affinity,Vida Deudor,536800,Mora,36
POL00195,2026-02-06,Asesor_003,Bogotá,Affinity,Salud a su Medida,397400,Vigente,0
POL00196,2025-09-20,Asesor_024,Costa,Negocios Masivos,Hogar,769900,Vigente,0
POL00197,2026-02-20,Asesor_004,Bogotá,Bancaseguros,Hogar,824100,Mora,106
POL00198,2025-09-16,Asesor_030,Eje Cafetero,Negocios Masivos,Salud a su Medida,556200,Mora,7
POL00199,2025-12-03,Asesor_022,Costa,Negocios Masivos,Salud a su Medida,202200,Cancelada,0
POL00200,2025-11-15,Asesor_036,Santanderes,Bancaseguros,Accidentes Personales,697600,Vigente,0
POL00201,2026-06-02,Asesor_010,Antioquia,Affinity,Vida Deudor,734600,Vigente,0
POL00202,2026-05-04,Asesor_009,Antioquia,Bancaseguros,Hogar,124600,Cancelada,0
POL00203,2025-08-08,Asesor_009,Antioquia,Bancaseguros,Hogar,514900,Vigente,0
POL00204,2025-08-27,Asesor_017,Valle,Negocios Masivos,Salud a su Medida,378100,Vigente,0
POL00205,2026-04-01,Asesor_005,Bogotá,Affinity,Exequial,453300,Vigente,0
POL00206,2025-11-22,Asesor_033,Eje Cafetero,Bancaseguros,Accidentes Personales,627700,Mora,85
POL00207,2026-01-02,Asesor_034,Eje Cafetero,Negocios Masivos,Exequial,820700,Vigente,0
POL00208,2026-02-22,Asesor_031,Eje Cafetero,Negocios Masivos,Exequial,123000,Vigente,0
POL00209,2025-09-07,Asesor_029,Eje Cafetero,Affinity,Vida Deudor,530800,Vigente,0
POL00210,2026-06-16,Asesor_018,Valle,Negocios Masivos,Accidentes Personales,615400,Vigente,0
POL00211,2026-04-29,Asesor_039,Santanderes,Affinity,Hogar,447000,Vigente,0
POL00212,2026-07-02,Asesor_008,Antioquia,Negocios Masivos,Accidentes Personales,740400,Vigente,0
POL00213,2026-02-28,Asesor_015,Valle,Affinity,Hogar,360000,Vigente,0
POL00214,2026-03-07,Asesor_021,Costa,Negocios Masivos,Hogar,242700,Mora,88
POL00215,2025-09-04,Asesor_031,Eje Cafetero,Bancaseguros,Vida Deudor,111000,Vigente,0
POL00216,2025-10-06,Asesor_024,Costa,Bancaseguros,Accidentes Personales,513000,Vigente,0
POL00217,2026-07-10,Asesor_022,Costa,Affinity,Vida Deudor,323200,Vigente,0
POL00218,2025-08-27,Asesor_028,Eje Cafetero,Negocios Masivos,Hogar,289600,Vigente,0
POL00219,2025-11-17,Asesor_033,Eje Cafetero,Negocios Masivos,Salud a su Medida,428000,Cancelada,0
POL00220,2026-05-12,Asesor_023,Costa,Bancaseguros,Hogar,656500,Vigente,0
POL00221,2026-05-15,Asesor_028,Eje Cafetero,Negocios Masivos,Accidentes Personales,585100,Vigente,0
POL00222,2026-07-03,Asesor_039,Santanderes,Bancaseguros,Hogar,182000,Vigente,0
POL00223,2026-01-21,Asesor_020,Valle,Bancaseguros,Hogar,182800,Vigente,0
POL00224,2025-09-05,Asesor_026,Costa,Negocios Masivos,Salud a su Medida,551000,Vigente,0
POL00225,2025-11-19,Asesor_034,Eje Cafetero,Affinity,Exequial,404700,Vigente,0
POL00226,2026-01-14,Asesor_020,Valle,Negocios Masivos,Accidentes Personales,104200,Vigente,0
POL00227,2026-06-13,Asesor_011,Antioquia,Negocios Masivos,Vida Deudor,101500,Vigente,0
POL00228,2026-04-06,Asesor_028,Eje Cafetero,Affinity,Accidentes Personales,372600,Vigente,0
POL00229,2025-09-28,Asesor_033,Eje Cafetero,Affinity,Hogar,125400,Vigente,0
POL00230,2026-04-07,Asesor_038,Santanderes,Negocios Masivos,Accidentes Personales,286400,Vigente,0
POL00231,2025-08-29,Asesor_039,Santanderes,Bancaseguros,Vida Deudor,280700,Vigente,0
POL00232,2025-12-09,Asesor_009,Antioquia,Affinity,Hogar,132800,Vigente,0
POL00233,2025-10-29,Asesor_028,Eje Cafetero,Affinity,Salud a su Medida,469100,Vigente,0
POL00234,2026-07-09,Asesor_036,Santanderes,Bancaseguros,Hogar,358600,Vigente,0
POL00235,2025-08-10,Asesor_028,Eje Cafetero,Bancaseguros,Exequial,737600,Vigente,0
POL00236,2026-02-24,Asesor_037,Santanderes,Affinity,Exequial,128900,Vigente,0
POL00237,2025-10-27,Asesor_021,Costa,Affinity,Accidentes Personales,713100,Mora,12
POL00238,2025-09-24,Asesor_028,Eje Cafetero,Affinity,Salud a su Medida,514900,Vigente,0
POL00239,2026-01-06,Asesor_026,Costa,Bancaseguros,Hogar,306500,Vigente,0
POL00240,2026-06-21,Asesor_033,Eje Cafetero,Negocios Masivos,Vida Deudor,450600,Mora,45
POL00241,2026-06-27,Asesor_023,Costa,Bancaseguros,Salud a su Medida,118800,Vigente,0
POL00242,2026-06-05,Asesor_012,Antioquia,Negocios Masivos,Salud a su Medida,96400,Mora,81
POL00243,2026-03-26,Asesor_032,Eje Cafetero,Negocios Masivos,Accidentes Personales,400900,Mora,73
POL00244,2026-06-16,Asesor_041,Santanderes,Negocios Masivos,Hogar,292700,Vigente,0
POL00245,2026-03-15,Asesor_031,Eje Cafetero,Affinity,Hogar,517000,Vigente,0
POL00246,2026-01-06,Asesor_005,Bogotá,Affinity,Exequial,65600,Vigente,0
POL00247,2025-09-09,Asesor_019,Valle,Negocios Masivos,Vida Deudor,519200,Vigente,0
POL00248,2026-05-11,Asesor_038,Santanderes,Affinity,Vida Deudor,775900,Vigente,0
POL00249,2026-01-12,Asesor_013,Valle,Affinity,Accidentes Personales,443600,Mora,58
POL00250,2026-01-23,Asesor_007,Antioquia,Negocios Masivos,Vida Deudor,561600,Vigente,0
POL00251,2026-03-13,Asesor_029,Eje Cafetero,Negocios Masivos,Accidentes Personales,532000,Vigente,0
POL00252,2026-02-15,Asesor_019,Valle,Affinity,Exequial,588300,Vigente,0
POL00253,2026-06-28,Asesor_041,Santanderes,Bancaseguros,Hogar,303700,Vigente,0
POL00254,2025-12-24,Asesor_025,Costa,Negocios Masivos,Hogar,729000,Mora,78
POL00255,2026-01-18,Asesor_010,Antioquia,Negocios Masivos,Vida Deudor,575800,Mora,40
POL00256,2025-10-06,Asesor_026,Costa,Negocios Masivos,Accidentes Personales,799500,Vigente,0
POL00257,2026-06-26,Asesor_025,Costa,Bancaseguros,Hogar,581100,Cancelada,0
POL00258,2025-09-17,Asesor_034,Eje Cafetero,Negocios Masivos,Exequial,329900,Vigente,0
POL00259,2025-11-18,Asesor_012,Antioquia,Affinity,Hogar,191500,Mora,20
POL00260,2025-12-30,Asesor_005,Bogotá,Negocios Masivos,Vida Deudor,663300,Cancelada,0
POL00261,2025-08-20,Asesor_034,Eje Cafetero,Negocios Masivos,Hogar,141800,Vigente,0
POL00262,2025-11-01,Asesor_011,Antioquia,Bancaseguros,Accidentes Personales,622800,Vigente,0
POL00263,2026-07-13,Asesor_024,Costa,Affinity,Salud a su Medida,532600,Vigente,0
POL00264,2025-11-28,Asesor_029,Eje Cafetero,Bancaseguros,Accidentes Personales,287200,Cancelada,0
POL00265,2025-11-08,Asesor_031,Eje Cafetero,Negocios Masivos,Hogar,806900,Mora,60
POL00266,2026-02-12,Asesor_019,Valle,Negocios Masivos,Accidentes Personales,376200,Vigente,0
POL00267,2026-06-06,Asesor_013,Valle,Affinity,Salud a su Medida,77500,Vigente,0
POL00268,2026-05-11,Asesor_024,Costa,Negocios Masivos,Vida Deudor,724400,Cancelada,0
POL00269,2025-09-12,Asesor_019,Valle,Affinity,Salud a su Medida,401200,Vigente,0
POL00270,2025-09-16,Asesor_028,Eje Cafetero,Affinity,Salud a su Medida,756000,Mora,54
POL00271,2026-02-19,Asesor_004,Bogotá,Affinity,Accidentes Personales,227200,Mora,48
POL00272,2025-08-15,Asesor_015,Valle,Bancaseguros,Hogar,718900,Vigente,0
POL00273,2025-10-10,Asesor_010,Antioquia,Affinity,Vida Deudor,782700,Vigente,0
POL00274,2026-03-29,Asesor_009,Antioquia,Negocios Masivos,Exequial,39300,Vigente,0
POL00275,2025-11-19,Asesor_017,Valle,Negocios Masivos,Salud a su Medida,801300,Vigente,0
POL00276,2025-09-26,Asesor_028,Eje Cafetero,Bancaseguros,Hogar,280400,Vigente,0
POL00277,2026-06-24,Asesor_027,Costa,Affinity,Accidentes Personales,86200,Cancelada,0
POL00278,2026-06-02,Asesor_032,Eje Cafetero,Bancaseguros,Accidentes Personales,550000,Vigente,0
POL00279,2025-12-28,Asesor_010,Antioquia,Bancaseguros,Exequial,536100,Vigente,0
POL00280,2025-11-04,Asesor_027,Costa,Negocios Masivos,Vida Deudor,829300,Vigente,0
POL00281,2026-05-06,Asesor_034,Eje Cafetero,Negocios Masivos,Accidentes Personales,486600,Vigente,0
POL00282,2025-08-23,Asesor_031,Eje Cafetero,Affinity,Exequial,241700,Vigente,0
